OBJECTID,OBJECTID,Onstreet,Atstreet,x,y,Month,Bridge_ID,DirFrom,LocationID,PkHrVol,Max24HrDay,PkHrDay,PkHrTime,PkHrAMPM,Month2,AWT,Max24HrVol,YearTxt,Year,created_user,created_date,last_edited_user,last_edited_date,GlobalID,x2,y2
21,11,Airport Rd,N Hanley Rd,867330.91427941,1061999.72711849,7,,E,11,1890,Fri,Wed,5:00,PM,July,21600,22840,2018,2018,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{3773D02F-6732-43CB-882A-DA89FA11CBB4},867330.914279412,1061999.72711849
22,12,Airport Rd,N Hanley Rd,867111.27626725,1061965.37023182,5, ,W,12,1838,Fri,Fri,4:00,PM,May,19250,20450,2011,2011,,,HY4TCF,45275.9079513889,{B172E15D-E01B-47A5-A2F7-70DE1BC08DFA},867111.276267245,1061965.37023182
23,12,Airport Rd,N Hanley Rd,867330.91427941,1061999.72711849,7,,W,12,1860,Wed,Thu,4:00,PM,July,20700,21750,2018,2018,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.6451175463,{831AB7AE-CF4D-4956-9147-EFDA484971C6},867330.914279412,1061999.72711849
24,13,Ambs Rd,Butler Hill Rd,857002.48152424,967442.79648207,10, ,N,13,423,Fri,Wed,7:00,AM,October,3487,3557,2019,2019,,,HY4TCF,45275.9079513889,{55A0945D-6B0D-4A23-859F-BF5433CD9BF0},857002.481524244,967442.796482071
25,13,Ambs Rd,Butler Hill Rd,857002.48152424,967442.79648207,10,,N,13,420,Fri,Wed,7:00,AM,October,3420,3560,2019,2019,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{F761A9C8-78AD-495D-8857-E7822898F039},857002.481524244,967442.796482071
26,14,Ambs Rd,Mattis Rd,860200.39802866,970758.76885274,7, ,S,14,302,Wed,Wed,5:00,PM,July,3050,3123,2011,2011,,,HY4TCF,45275.9079513889,{3FCB768B-87D8-447A-9288-0F838B48A129},860200.398028661,970758.768852741
27,14,Ambs Rd,Mattis Rd,860200.39802866,970758.76885274,3,,S,14,380,Fri,Thu,7:00,AM,March,3400,3720,2020,2020,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.6451223727,{60B361AB-E27B-4A2E-B682-EC0C3F4E249F},860200.398028661,970758.768852741
28,15,Ambs Rd,Towne Centre Dr,858915.67586058,969425.4355614,6, ,N,15,309,Wed,Sat,11:00,AM,June,3160,3377,2016,2016,,,HY4TCF,45275.9079513889,{2ABCB2FA-E7A3-4A4A-9850-EC2AA2040DCA},858915.67586058,969425.435561404
29,15,Ambs Rd,Towne Centre Dr,858915.67586058,969425.4355614,6,,N,15,309,Wed,Sat,11:00,AM,June,3160,3377,2016,2016,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{BC5BBFCB-7B9C-4FF3-9373-72166342D1E2},858915.67586058,969425.435561404
30,16,Ambs Rd,Towne Centre Dr,858825.39815399,969328.21331491,9, ,S,16,418,Tue,Thu,7:00,AM,September,3200,3384,2005,2005,,,HY4TCF,45275.9079513889,{1861CB5C-FC85-405C-B778-E5F14B08D48C},858825.398153994,969328.213314906
31,16,Ambs Rd,Towne Centre Dr,858915.67586058,969425.4355614,10,,S,16,390,Fri,Wed,7:00,AM,October,3330,3500,2019,2019,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.6451247338,{98CB68EA-3697-4F29-97E5-603192E4E848},858915.67586058,969425.435561404
32,17,Ameling Rd,Bennington Rd,833726.27479591,1051686.94590683,10, ,E,17,629,Sat,Wed,5:00,PM,October,6490,6938,2013,2013,,,HY4TCF,45275.9079513889,{B6496AB7-1D83-4428-A9EB-29D5E08D0B62},833726.274795912,1051686.94590683
33,17,Ameling Rd,Bennington Rd,833726.27479591,1051686.94590683,9,,E,17,500,Fri,Wed,5:00,PM,September,5320,5610,2023,2023,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{D1A7DADA-044D-4766-A655-C75243F88FF0},833726.274795912,1051686.94590683
34,18,Ameling Rd,McKelvey Rd,834851.2748425,1051686.94590683,11, ,W,18,610,Fri,Fri,4:00,PM,November,6680,6849,2012,2012,,,HY4TCF,45275.9079513889,{084F2521-89E1-4BCC-81C8-A9F679E8A57B},834851.274842497,1051686.94590683
35,18,Ameling Rd,McKelvey Rd,834851.2748425,1051686.94590683,6,,W,18,640,Wed,Tue,5:00,PM,June,6520,6630,2019,2019,lhale_stlcogis3,44748.6141215856,TFrazier_stlcogis,44748.6451293519,{49865AEF-316D-4AD3-A3F2-97CC131BE32C},834851.274842497,1051686.94590683
36,19,Amiot Dr,Bookbinder Dr,823611.08374025,1042502.39734682,10, ,N,19,214,Thu,Wed,5:00,PM,October,1740,1834,2015,2015,,,HY4TCF,45275.9079513889,{4F2BD5FE-ACBC-424D-A9DD-429F891F82BA},823611.083740246,1042502.39734682
37,19,Amiot Dr,Bookbinder Dr,823542.07337958,1042413.85552915,10,,N,19,214,Thu,Wed,5:00,PM,October,1740,1834,2015,2015,lhale_stlcogis3,44748.6141215856,lhale_stlcogis3,44748.6141215856,{22A9D2EC-EFA9-4AB6-87A9-F70E8B6A7760},823542.07337958,1042413.85552915
38,20,Amiot Dr,Bookbinder Dr,823542.07337958,1042413.85552915,10, ,S,20,29,Wed,Fri,2:00,PM,October,170,190,2015,2015,,,HY4TCF,45275.9079513889,{C8F98ADC-0A1D-4851-9ABA-EE09689971D9},823542.07337958,1042413.85552915
